feature,importance
Is,-3.241878325714135e-06
month_sin,1.497960380140532e-05
Ir,0.00023962810599424214
pm25_lag_24,0.0002742431132512306
PRES,0.0002847370661073582
month_cos,0.000299241780083596
hour_cos,0.00031851765702965257
hour_sin,0.000978067579692728
TEMP,0.001495114860717443
cbwd,0.003948311130802851
Iws,0.004459549049327068
DEWP,0.006474135920740161
pm25_lag_6,0.00757992141405243
pm25_roll24,0.016970458764128726
pm25_lag_1,1.9315385861208831
